#,Que la Republique etait belle sous l'Empire!,Alphonse Aulard
#,L'etat social favorise et augmente la liberte.,Jean Jaures
#,C'est en allant vers la mer que le fleuve reste fidele a sa source.,Jean Jaures
#,Ne demandez pas ce que votre pays peut faire pour vous. Demandez ce que vous pouvez faire pour votre pays.,John Fitzgerald Kennedy
#,Le commerce est le plus grand de tous les interets politiques.,Joseph Chamberlain
#,"Ca compte, meme quand c'est un chien, quelqu'un qui vous prefere a tout le reste du monde.",Jules Roy
#,L'Allemagne est un pays que je n'aimerais pas avoir pour voisin.,Konrad Adenauer
#,L'Etat vit au-dessus de ses moyens.,Laurent Fabius
#,Paris vaut bien une messe.,Henri IV
#,En politique ce qui est inutile est souvent nuisible.,Jacques Bainville
#,On n'est jamais mieux gouverne que lorsqu'il n'y a pas de gouvernement.,Jean-Baptiste Say
#,"Nous ne coalisons pas des Etats, nous unissons des hommes.",Jean Monnet
#,"Il y a eu des vols d'oiseaux, des courants d'air, des migraines qui ont decide du sort du monde.",Joseph Ernest Renan
#,Le but du monde est que la raison regne.,Joseph Ernest Renan
#,Une ecole ou les ecoliers feraient la loi serait une triste ecole.,Joseph Ernest Renan
#,"Le grand oeuvre s'accomplira par la science, non par la democratie.",Joseph Ernest Renan
#,Le merveilleux n'etait pas pour lui l'exceptionnel; c'etait l'etat normal.,Joseph Ernest Renan
#,Le but du monde est de produire la raison.,Joseph Ernest Renan
#,"La terre est a peine remise en etat, et le fisc fond dessus.",Jules Michelet
#,"En matiere d'administration, toutes les reformes sont odieuses.",Louis XI
#,"C'est par votre ignorance, l'etat ou je suis maintenant.",Louis XIII le Juste
#,Tout l'art de la politique est de se servir des conjectures.,Louis XIV
#,"Quand on peut tout ce que l'on veut, il n'est pas aise de ne vouloir que ce que l'on doit.",Louis XIV
#,"L'Etat, c'est moi.",Louis XIV
#,Le peuple francais est incapable d'un regicide.,Louis XVI
#,"C'est legal, parce que je le veux.",Louis XVI
#,Tous les reactionnaires sont des tigres en papiers.,Mao Zedong
#,"Ma cite et ma patrie, c'est Rome et c'est le monde.",Marc Aurele
#,Un peuple en etat de revolution est invincible.,Maximin Isnard
#,"N'ayez pas peur du peuple, il est plus conservateur que vous.",Napoleon III
#,"L'Empire, c'est la paix.",Napoleon III
#,L'aigle volera de clocher en clocher jusqu'aux tours de Notre-Dame.,Napoleon Bonaparte
#,"Cela n'est pas possible, m'ecriez-vous; cela n'est pas francais.",Napoleon Bonaparte
#,"Je desire que mes cendres reposent sur les bords de la Seine, au milieu de ce peuple francais que j'ai tant aime.",Napoleon Bonaparte
#,"En politique, une absurdite n'est pas un obstacle.",Napoleon Bonaparte
#,Provoquez donc une emeute pendant que vous avez encore une armee pour l'etouffer.,Otto von Bismarck
#,L'article 16 de la Constitution ne doit son existence qu'a celle des articles 15 et 17 qui le precedent et le suivent.,Pierre Dac
#,Vivre hors du monde tout en restant dans le temps n'est pas a la portee de tout le monde.,Pierre Dac
#,"Si active qu'elle soit, la police ne parviendra jamais a arreter le temps qui s'enfuit...",Pierre Dac
#,"Lits jumeaux a vendre, dont un etat neuf.",Pierre Dac 
#,"Il est democratiquement impensable qu'en republique il y ait encore trop de gens qui se foutent royalement de tout.",Pierre Dac
#,La democratie est d'abord un etat d'esprit.,Pierre Mendes-France
#,"L'histoire de la liberte, c'est l'histoire des limites du pouvoir de l'Etat.",Thomas Woodrow Wilson
#,"Sous le nom de democratie, c'etait en fait le premier citoyen qui gouvernait.",Thucydide
#,Il est dans la nature de l'homme d'opprimer ceux qui cedent et de respecter ceux qui resistent.,Thucydide
#,La vraie politique est simplement le service du prochain.,Vaclav Havel
#,La politique et la theologie sont les deux seules grandes questions.,William Gladstone
#,"On ne peut etre tue qu'une seule fois au combat, mais plusieurs fois en politique.",Winston Churchill
#,"La democratie est un mauvais systeme, mais elle est le moins mauvais de tous les systemes.",Winston Churchill
#,Le meilleur argument contre la democratie est un entretien de cinq minutes avec un electeur moyen.,Winston Churchill
#,Un rideau de fer est descendu sur l'Europe.,Winston Churchill
